sub,optimal_delayed_score,worry
5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,0.4958333333333333,71
55d22025cc2b18000c0b9d9c_thisExp_2023-05-28_10h07.02.505.csv,0.8125,33
5PARTICIPANT_thisExp_2023-05-28_14h22.50.475.csv,0.46875,31
5d7874252f037f0016637125_thisExp_2023-05-28_10h06.52.243.csv,0.7145833333333333,20
5f653cb18aad310a9ee7c32d_thisExp_2023-05-28_10h51.39.394.csv,0.6833333333333333,77
6160668abf9c1d7ddc705eae_thisExp_2023-05-28_08h39.29.284.csv,0.9354166666666666,49
630cc9747cb664e8a03c29f0_thisExp_2023-05-28_13h51.14.155.csv,0.7041666666666666,35
5d66b39acb411d00170f69d6_thisExp_2023-05-29_05h33.58.743.csv,0.5,43
5d68c8aa40524c00189e8ac2_thisExp_2023-05-28_10h59.13.522.csv,0.8333333333333333,45
5PARTICIPANT_thisExp_2023-05-28_10h06.57.899.csv,0.4229166666666667,75
5ec96e3609117f0a67231842_thisExp_2022-08-04_09h41.35.090.csv,0.4875,34
5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,0.7166666666666667,36
5PARTICIPANT_thisExp_2023-05-28_10h15.26.696.csv,0.6666666666666667,52
5PARTICIPANT_thisExp_2023-05-29_10h22.54.035.csv,0.6041666666666666,58
5ecc7b15ce3f4185e01acd04_thisExp_2022-08-04_10h34.25.176.csv,0.93125,36
6102bbdba4dd279363094fca_thisExp_2023-05-28_10h07.16.264.csv,0.9916666666666666,20
5a46d551b77a5000014a8ce9_thisExp_2023-05-28_10h08.07.337.csv,0.5,78
5bf2f728bd9f150001f6cc42_thisExp_2023-05-28_10h12.40.055.csv,0.34375,80
5PARTICIPANT_thisExp_2023-05-28_10h06.11.804.csv,0.8083333333333333,72
5fe602f729db954217db9aef_thisExp_2022-08-04_11h52.06.522.csv,0.8229166666666666,29
5CA_thisExp_2023-05-29_10h29.45.408.csv,0.5166666666666667,58
63b80a8b220f924d975670bc_thisExp_2023-05-28_10h52.55.897.csv,0.7416666666666667,75
5PARTICIPANT_thisExp_2023-05-28_10h06.48.012.csv,0.6125,77
60f06a479c4f3ec0a536d40a_thisExp_2022-08-04_10h33.46.831.csv,0.44791666666666663,73
5claire_thisExp_2023-05-29_10h48.40.380.csv,0.475,63
5PARTICIPANT_thisExp_2023-05-28_08h46.41.563.csv,0.4875,48
5PARTICIPANT_thisExp_2023-05-28_16h50.50.159.csv,0.5520833333333334,75
645cf9fc85bdf118416ed9ce_thisExp_2023-05-28_05h35.40.559.csv,0.4541666666666667,33
62e234304cf51f62d5ee3e48_thisExp_2023-05-28_17h05.08.779.csv,0.6812499999999999,69
5PARTICIPANT_thisExp_2023-05-28_10h07.04.381.csv,0.49166666666666664,40
60ddfb3db6a71ad9ba75e387_thisExp_2022-08-05_15h15.50.677.csv,0.7729166666666667,36
5Ed_thisExp_2023-05-29_10h29.02.679.csv,0.45625,62
60c770c2798ff49897e4826a_thisExp_2023-05-28_10h06.59.843.csv,0.6666666666666667,80
63174af7d57182f9bf90c094_thisExp_2023-05-28_11h10.39.074.csv,0.3145833333333333,67
6365805113952480bdeed7b7_thisExp_2023-05-28_10h07.55.071.csv,0.4395833333333333,18
5dc5da21d999de45a504651b_thisExp_2023-05-28_11h20.05.097.csv,0.6145833333333333,74
6347200d8ded5172ec43e0bb_thisExp_2023-05-28_18h45.26.774.csv,0.5,53
630389e7772b100ba592cdee_thisExp_2023-05-29_10h30.38.726.csv,0.925,66
644ac4fca1359a25ea5cea3f_thisExp_2023-05-29_10h35.54.478.csv,0.5208333333333333,67
63469b33c8cdbd6d3067c28b_thisExp_2023-05-28_10h06.48.896.csv,0.9208333333333333,53
5PARTICIPANT_thisExp_2023-05-28_14h21.30.046.csv,0.49166666666666664,29
63de88d74d63ce321662f029_thisExp_2023-05-28_10h08.53.631.csv,0.8145833333333333,29
6083e6f895a0a89f8dde9ecd_thisExp_2022-08-05_13h11.50.091.csv,0.8541666666666666,63
60d3136e74b1871646e72544_thisExp_2023-05-28_18h47.23.320.csv,0.51875,54
5PARTICIPANT_thisExp_2023-05-28_10h07.04.580.csv,0.5583333333333333,41
6441795624090301ddeba81e_thisExp_2023-05-28_10h53.09.313.csv,0.6354166666666666,29
5ee4a14b578f8a000b384376_thisExp_2023-05-28_10h44.28.602.csv,0.8958333333333333,58
61268bfae35dcb011f6081b5_thisExp_2023-05-29_10h52.50.086.csv,0.5104166666666666,63
5eb14b3c30bd5922f1fcc4f2_thisExp_2023-05-28_10h07.00.415.csv,0.5729166666666666,65
5da6b2aca2860400146b8ace_thisExp_2023-05-28_10h07.02.754.csv,0.9729166666666667,48
612f4e35a9ee7323933cd80f_thisExp_2023-05-29_11h38.09.689.csv,0.6541666666666667,53
5PARTICIPANT_thisExp_2023-05-28_10h06.51.297.csv,0.5958333333333333,24
5PARTICIPANT_thisExp_2023-05-28_10h06.51.297 2.csv,0.5958333333333333,24
5PARTICIPANT_thisExp_2023-05-28_14h22.20.042.csv,0.9625,55
63d79fcd741f9cfb2f87152f_thisExp_2023-05-28_18h37.36.081.csv,0.6333333333333333,23
61269eaf037840c7f0f9727d_thisExp_2023-05-28_08h55.10.941.csv,0.6395833333333334,72
5PARTICIPANT_thisExp_2023-05-28_14h25.59.242.csv,0.7229166666666667,72
